source1_entity_id	candidate_entity_ids
S1-00001	S2-00001,S2-00017,S2-00057,S2-00060,S2-00061,S2-00076,S2-00103,S2-00108,S2-00111,S2-00115,S2-00124,S2-00125,S2-00136,S3-00001,S3-00023,S3-00038,S3-00041,S3-00043,S3-00047,S3-00055
S1-00002	S2-00002,S2-00003,S2-00007,S2-00023,S2-00036,S2-00042,S2-00054,S2-00075,S2-00083,S2-00084,S2-00085,S2-00139,S2-00140,S2-00158,S2-00171,S2-00177,S2-00195,S3-00002,S3-00010,S3-00015,S3-00020,S3-00028,S3-00031,S3-00057,S3-00072,S3-00076
S1-00003	S2-00004,S2-00011,S2-00014,S2-00016,S2-00018,S2-00021,S2-00035,S2-00037,S2-00051,S2-00053,S2-00063,S2-00073,S2-00074,S2-00080,S2-00089,S2-00092,S2-00093,S2-00095,S2-00106,S2-00107,S2-00109,S2-00117,S2-00134,S2-00141,S2-00164,S2-00178,S2-00187,S3-00027,S3-00040,S3-00054,S3-00058,S3-00078,S3-00081
S1-00004	S2-00005,S2-00024,S2-00028,S2-00050,S2-00055,S2-00065,S2-00079,S2-00098,S2-00100,S2-00101,S2-00119,S2-00131,S2-00135,S2-00137,S2-00176,S2-00179,S2-00181,S2-00182,S2-00197,S2-00258,S3-00011,S3-00019,S3-00024,S3-00029,S3-00036,S3-00044,S3-00050,S3-00138
S1-00005	S2-00004,S2-00014,S2-00016,S2-00018,S2-00021,S2-00035,S2-00037,S2-00051,S2-00053,S2-00063,S2-00073,S2-00074,S2-00080,S2-00081,S2-00092,S2-00093,S2-00095,S2-00106,S2-00107,S2-00117,S2-00127,S2-00134,S2-00141,S2-00152,S2-00164,S2-00175,S2-00178,S2-00187,S2-00191,S3-00027,S3-00030,S3-00040,S3-00054,S3-00058,S3-00078
S1-00006	S2-00006,S2-00009,S2-00017,S2-00034,S2-00048,S2-00057,S2-00058,S2-00076,S2-00102,S2-00108,S2-00111,S2-00118,S2-00125,S2-00136,S2-00147,S2-00150,S2-00165,S3-00003,S3-00005,S3-00007,S3-00017,S3-00022,S3-00037,S3-00041,S3-00043,S3-00049,S3-00068
S1-00007	S2-00002,S2-00003,S2-00007,S2-00023,S2-00033,S2-00038,S2-00054,S2-00067,S2-00075,S2-00082,S2-00084,S2-00085,S2-00130,S2-00142,S2-00157,S2-00158,S2-00195,S2-00297,S3-00002,S3-00010,S3-00015,S3-00028,S3-00032,S3-00052,S3-00064,S3-00083,S3-00177
S1-00008	S2-00008,S2-00045,S2-00052,S2-00062,S2-00064,S2-00070,S2-00077,S2-00086,S2-00094,S2-00104,S2-00113,S2-00144,S2-00159,S2-00160,S2-00162,S2-00163,S2-00167,S2-00184,S2-00185,S2-00186,S2-00190,S2-00193,S2-00201,S3-00004,S3-00045,S3-00066,S3-00067,S3-00069,S3-00077
S1-00009	S2-00005,S2-00010,S2-00012,S2-00027,S2-00028,S2-00055,S2-00065,S2-00078,S2-00096,S2-00097,S2-00101,S2-00112,S2-00119,S2-00126,S2-00137,S2-00146,S2-00151,S2-00170,S2-00176,S2-00179,S2-00188,S3-00012,S3-00021,S3-00024,S3-00035,S3-00044,S3-00056,S3-00071,S3-00075
S1-00010	S2-00006,S2-00009,S2-00017,S2-00034,S2-00048,S2-00057,S2-00058,S2-00102,S2-00103,S2-00108,S2-00111,S2-00118,S2-00125,S2-00147,S2-00150,S2-00165,S3-00003,S3-00005,S3-00007,S3-00017,S3-00022,S3-00037,S3-00038,S3-00041,S3-00043,S3-00049,S3-00068
