source1_entity_id	matched_entity_ids
S1-00001	S2-00001,S3-00001
S1-00002	S2-00002,S2-00003,S3-00002
S1-00003	S2-00004
S1-00004	S2-00005
S1-00005	
S1-00006	S3-00003,S2-00006
S1-00007	S2-00007
S1-00008	S3-00004,S2-00008
S1-00009	
S1-00010	S2-00009,S3-00005
S1-00011	S2-00010
S1-00012	S2-00011
S1-00013	S2-00012
S1-00014	S2-00013
S1-00015	S2-00014
S1-00016	
S1-00017	
S1-00018	S2-00015,S3-00006
S1-00019	S2-00016
S1-00020	S2-00017,S3-00007
S1-00021	S2-00018
S1-00022	S2-00019
S1-00023	
S1-00024	S2-00020,S3-00008
S1-00025	S2-00021
S1-00026	S2-00022,S3-00009
S1-00027	S3-00010,S2-00023
S1-00028	S2-00024,S3-00011
S1-00029	S2-00025
S1-00030	S2-00026
S1-00031	S2-00027
S1-00032	
S1-00033	S2-00028,S3-00012
S1-00034	S3-00013,S2-00029
S1-00035	
S1-00036	S2-00030,S2-00143,S3-00059
S1-00037	S2-00031
S1-00038	S3-00014,S2-00032
S1-00039	S2-00033
S1-00040	S2-00034
S1-00041	S2-00035
S1-00042	S2-00036
S1-00043	S2-00037
S1-00044	
S1-00045	S2-00038
S1-00046	S2-00039
S1-00047	S2-00040
S1-00048	S2-00041
S1-00049	
S1-00050	
S1-00051	
S1-00052	S3-00015,S2-00042
S1-00053	
S1-00054	
S1-00055	S2-00043
S1-00056	S2-00044
S1-00057	S2-00045
S1-00058	
S1-00059	S3-00016,S2-00047,S2-00046
S1-00060	S2-00048,S3-00017
S1-00061	S2-00049,S3-00018
S1-00062	S3-00019,S2-00050
S1-00063	
S1-00064	
S1-00065	S2-00051
S1-00066	S2-00052
S1-00067	S2-00053
S1-00068	
S1-00069	
S1-00070	S3-00020,S2-00054
S1-00071	S2-00055,S3-00021
S1-00072	
S1-00073	S2-00056
S1-00074	S3-00022,S2-00057,S2-00058
S1-00075	S2-00059
S1-00076	S2-00143,S3-00059
S1-00077	S3-00023,S2-00060,S2-00061
S1-00078	S2-00062
S1-00079	
S1-00080	
S1-00081	S2-00063
S1-00082	S2-00064
S1-00083	S2-00065,S3-00024
