feature_name,feature_type,description
name_jaccard,float32,Engineered pairwise metric: name_jaccard
name_levenshtein,float32,Engineered pairwise metric: name_levenshtein
name_tfidf_cosine,float32,Engineered pairwise metric: name_tfidf_cosine
name_token_overlap,float32,Engineered pairwise metric: name_token_overlap
name_character_similarity,float32,Engineered pairwise metric: name_character_similarity
name_exact_match,float32,Engineered pairwise metric: name_exact_match
name_shared_token_count,float32,Engineered pairwise metric: name_shared_token_count
name_length_ratio,float32,Engineered pairwise metric: name_length_ratio
name_length_difference,float32,Engineered pairwise metric: name_length_difference
address_jaccard,float32,Engineered pairwise metric: address_jaccard
address_levenshtein,float32,Engineered pairwise metric: address_levenshtein
address_tfidf_cosine,float32,Engineered pairwise metric: address_tfidf_cosine
address_token_overlap,float32,Engineered pairwise metric: address_token_overlap
address_character_similarity,float32,Engineered pairwise metric: address_character_similarity
address_exact_match,float32,Engineered pairwise metric: address_exact_match
address_shared_token_count,float32,Engineered pairwise metric: address_shared_token_count
address_shared_numeric_token_count,float32,Engineered pairwise metric: address_shared_numeric_token_count
address_numeric_token_overlap,float32,Engineered pairwise metric: address_numeric_token_overlap
address_length_ratio,float32,Engineered pairwise metric: address_length_ratio
address_length_difference,float32,Engineered pairwise metric: address_length_difference
country_match,float32,Engineered pairwise metric: country_match
total_shared_token_count,float32,Engineered pairwise metric: total_shared_token_count
shared_numeric_token_count,float32,Engineered pairwise metric: shared_numeric_token_count
numeric_token_overlap,float32,Engineered pairwise metric: numeric_token_overlap
