experiment_id,timestamp,stage_desc,macro_f0_5,macro_precision,macro_recall,candidate_recall,singleton_accuracy,total_tp,total_fp,total_fn,avg_candidates,parameters,notes
EXP_BLOCK_BLOCK_A,2026-09-25T19:00:51.453117,Blocking: Block A (Country + Name Tokens),0.0000,0.0000,0.0000,1.0000,0.0000,0,0,0,3.14,"{'blocking_method': 'block_a', 'max_candidates': 80}","Reduction ratio: 0.99416, Runtime: 0.00s"
EXP_BLOCK_BLOCK_B,2026-09-25T19:00:51.456777,Blocking: Block B (Character 3-grams),0.0000,0.0000,0.0000,1.0000,0.0000,0,0,0,4.92,"{'blocking_method': 'block_b', 'max_candidates': 80}","Reduction ratio: 0.99086, Runtime: 0.00s"
EXP_BLOCK_BLOCK_C,2026-09-25T19:00:51.458569,Blocking: Block C (Informative Address Tokens),0.0000,0.0000,0.0000,1.0000,0.0000,0,0,0,26.94,"{'blocking_method': 'block_c', 'max_candidates': 80}","Reduction ratio: 0.94993, Runtime: 0.00s"
EXP_BLOCK_BLOCK_D,2026-09-25T19:00:51.460073,Blocking: Block D (Numeric/Postal Evidence),0.0000,0.0000,0.0000,1.0000,0.0000,0,0,0,1.16,"{'blocking_method': 'block_d', 'max_candidates': 80}","Reduction ratio: 0.99784, Runtime: 0.00s"
EXP_BLOCK_BLOCK_E,2026-09-25T19:00:51.461118,Blocking: Block E (Rare Tokens),0.0000,0.0000,0.0000,1.0000,0.0000,0,0,0,2.16,"{'blocking_method': 'block_e', 'max_candidates': 80}","Reduction ratio: 0.99599, Runtime: 0.00s"
EXP_BLOCK_BLOCK_UNION_ALL,2026-09-25T19:00:51.466286,Blocking: Block F (Multi-Pass Union with Adaptive Fallbacks),0.0000,0.0000,0.0000,1.0000,0.0000,0,0,0,28.56,"{'blocking_method': 'block_union_all', 'max_candidates': 80}","Reduction ratio: 0.94691, Runtime: 0.00s"
EXP_STAGE1_BROAD_FILTER,2026-09-25T19:00:51.481624,Stage-1 Broad Filter (Set operations & token overlap),0.0000,0.0000,0.0000,1.0000,0.0000,0,0,0,3.02,{'stage1_threshold': 0.15},"Pruned 89.4% candidates, Recall retention: 100.00%"
EXP_SINGLE_STAGE_BASELINE,2026-09-25T19:00:51.542033,Single-Stage Baseline (Candidate Gen -> Detailed Scorer),0.9911,0.9900,1.0000,0.0000,1.0000,54,1,0,0.00,{'threshold': 0.65},"Direct scoring without broad filtering, Runtime: 0.06s"
EXP_TWO_STAGE_PIPELINE,2026-09-25T19:00:51.564887,Two-Stage Pipeline (Candidate Gen -> Stage 1 -> Stage 2),0.9911,0.9900,1.0000,0.0000,1.0000,54,1,0,0.00,"{'stage1_threshold': 0.15, 'stage2_threshold': 0.65}","Two-stage architecture, Runtime: 0.02s"
EXP_THRESH_50,2026-09-25T19:00:51.566362,Decision Threshold = 0.50,0.5606,0.5367,0.8400,0.0000,0.4286,54,84,0,0.00,{'threshold': 0.5},Threshold sweep on Two-Stage pipeline
EXP_THRESH_55,2026-09-25T19:00:51.567910,Decision Threshold = 0.55,0.6570,0.6370,0.8600,0.0000,0.5000,54,47,0,0.00,{'threshold': 0.55},Threshold sweep on Two-Stage pipeline
EXP_THRESH_60,2026-09-25T19:00:51.568980,Decision Threshold = 0.60,0.9264,0.9200,0.9800,0.0000,0.9286,54,8,0,0.00,{'threshold': 0.6},Threshold sweep on Two-Stage pipeline
EXP_THRESH_65,2026-09-25T19:00:51.569831,Decision Threshold = 0.65,0.9911,0.9900,1.0000,0.0000,1.0000,54,1,0,0.00,{'threshold': 0.65},Threshold sweep on Two-Stage pipeline
EXP_THRESH_70,2026-09-25T19:00:51.570793,Decision Threshold = 0.70,0.9567,0.9600,0.9500,0.0000,1.0000,49,0,5,0.00,{'threshold': 0.7},Threshold sweep on Two-Stage pipeline
EXP_THRESH_75,2026-09-25T19:00:51.571707,Decision Threshold = 0.75,0.8200,0.8200,0.8200,0.0000,1.0000,39,0,15,0.00,{'threshold': 0.75},Threshold sweep on Two-Stage pipeline
EXP_THRESH_80,2026-09-25T19:00:51.572563,Decision Threshold = 0.80,0.3333,0.3400,0.3200,0.0000,1.0000,3,0,51,0.00,{'threshold': 0.8},Threshold sweep on Two-Stage pipeline
EXP_THRESH_85,2026-09-25T19:00:51.573329,Decision Threshold = 0.85,0.3000,0.3000,0.3000,0.0000,1.0000,1,0,53,0.00,{'threshold': 0.85},Threshold sweep on Two-Stage pipeline
EXP_BLOCK_BLOCK_A,2026-09-25T19:08:06.484115,Blocking: Block A (Country + Name Tokens),0.0000,0.0000,0.0000,1.0000,0.0000,0,0,0,3.14,"{'blocking_method': 'block_a', 'max_candidates': 80}","Reduction ratio: 0.99416, Runtime: 0.00s"
EXP_BLOCK_BLOCK_B,2026-09-25T19:08:06.487446,Blocking: Block B (Character 3-grams),0.0000,0.0000,0.0000,1.0000,0.0000,0,0,0,4.92,"{'blocking_method': 'block_b', 'max_candidates': 80}","Reduction ratio: 0.99086, Runtime: 0.00s"
